,event,date,location,event_url
112,UFC Fight Night: Korean Zombie vs. Rodriguez," November 10, 2018"," Denver, Colorado, US",http://ufcstats.com/event-details/42c96a9c4802e2e1
113,UFC 230: Cormier vs. Lewis," November 03, 2018"," New York City, New York, US",http://ufcstats.com/event-details/20821819c401ced8
114,UFC Fight Night: Oezdemir vs. Smith," October 27, 2018"," Moncton, New Brunswick, Canada",http://ufcstats.com/event-details/33a331684283900f
115,UFC 229: Khabib vs. McGregor," October 06, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/1ef0eae31904e534
116,UFC Fight Night: Marreta vs. Anders," September 22, 2018"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/852454c572675334
117,UFC Fight Night: Hunt vs. Oleinik," September 15, 2018"," Moscow, Moscow, Russia",http://ufcstats.com/event-details/8d49545dadf9b919
118,UFC 228: Woodley vs. Till," September 08, 2018"," Dallas, Texas, US",http://ufcstats.com/event-details/d5ae8074631762fc
119,UFC Fight Night: Gaethje vs. Vick," August 25, 2018"," Lincoln, Nebraska, US",http://ufcstats.com/event-details/c0342805a1948cbb
120,UFC 227: Dillashaw vs. Garbrandt 2," August 04, 2018"," Los Angeles, California, US",http://ufcstats.com/event-details/03b1e846b09f721d
121,UFC Fight Night: Alvarez vs. Poirier 2," July 28, 2018"," Calgary, Alberta, Canada",http://ufcstats.com/event-details/322a56923b396b4d
122,UFC Fight Night: Shogun vs. Smith," July 22, 2018"," Hamburg, Hamburg, Germany",http://ufcstats.com/event-details/4f732e58ed907eff
123,UFC Fight Night: Dos Santos vs. Ivanov," July 14, 2018"," Boise, Idaho, US",http://ufcstats.com/event-details/b45d6b73f4ca4467
124,UFC 226: Miocic vs. Cormier," July 07, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/35585d970300d45a
125,The Ultimate Fighter: Undefeated Finale," July 06, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/8215e4fe24e8e81b
126,UFC Fight Night: Cowboy vs. Edwards," June 23, 2018"," Kallang, Singapore",http://ufcstats.com/event-details/ac5f67109accb482
127,UFC 225: Whittaker vs. Romero 2," June 09, 2018"," Chicago, Illinois, US",http://ufcstats.com/event-details/2eae41f61776c60f
128,UFC Fight Night: Rivera vs. Moraes," June 01, 2018"," Utica, New York, US",http://ufcstats.com/event-details/d29b5c4f22c6357d
129,UFC Fight Night: Thompson vs. Till," May 27, 2018"," Liverpool, England, United Kingdom",http://ufcstats.com/event-details/f5990c11974d8e9c
130,UFC Fight Night: Maia vs. Usman," May 19, 2018"," Santiago, Chile",http://ufcstats.com/event-details/3144121470023e9a
131,UFC 224: Nunes vs. Pennington," May 12, 2018"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/67ec58d7cf599835
132,UFC Fight Night: Barboza vs. Lee," April 21, 2018"," Atlantic City, New Jersey, US",http://ufcstats.com/event-details/ad99fa5325519169
133,UFC Fight Night: Poirier vs. Gaethje," April 14, 2018"," Glendale, Arizona, US",http://ufcstats.com/event-details/620be7e0712d431b
134,UFC 223: Khabib vs. Iaquinta," April 07, 2018"," Brooklyn, New York, US",http://ufcstats.com/event-details/49e7e05f902479ca
135,UFC Fight Night: Werdum vs. Volkov," March 17, 2018"," London, England, United Kingdom",http://ufcstats.com/event-details/eed2b71d77d95416
136,UFC 222: Cyborg vs. Kunitskaya," March 03, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/7929be8290289a47
